,generic_name,synonym
132,"3,4-Dihydro-5-Methylnaphthalenone","3,4-dihydro-5-methylnaphthalenone"
132,"3,4-Dihydro-6-Methylnaphthalenone","3,4-dihydro-6-methylnaphthalenone"
132,"3,4-Dihydro-7-Methylnaphthalenone","3,4-dihydro-7-methylnaphthalenone"
133,"3,4-Dihydro-8-Methylnaphthalenone","3,4-dihydro-8-methylnaphthalenone"
134,"3,4-Dihydroxybenzoic Acid","3,4-dihydroxybenzoic acid"
135,"3,4-Dihydroxybenzoyl Dipeptide-49 Amide","3,4-dihydroxybenzoyl dipeptide-49 amide"
136,"3,4-Dimethylcyclopentane-1,2-Dione","3,4-dimethylcyclopentane-1,2-dione"
137,"3,4-Methylenedioxybenzyl Methylsulfone","3,4-methylenedioxybenzyl methylsulfone"
137,"3,5,6-Trimethyl-3-Cyclohexene-1-Carbaldehyde","3,5,6-trimethyl-3-cyclohexene-1-carbaldehyde"
138,"3,5,6-Trimethyl-3-Cyclohexenyl-4-Penten-3-One","3,5,6-trimethyl-3-cyclohexenyl-4-penten-3-one"
138,"3,5-Diethyldimethylcyclohexenone","3,5-diethyldimethylcyclohexenone"
139,"3,5-Dimethoxytoluene","3,5-dimethoxytoluene"
140,"3,5-Dimethyl Cyclohexenecarbonitrile","3,5-dimethyl cyclohexenecarbonitrile"
140,"3,5-Dimethyl-3-Cyclohexene-1-Carbaldehyde","3,5-dimethyl-3-cyclohexene-1-carbaldehyde"
141,"3,5-Dimethyl-3-Cyclohexene-1-Methyl Acetate","3,5-dimethyl-3-cyclohexene-1-methyl acetate"
142,"3,5-Dimethylcyclohexene-1-Methanol","3,5-dimethylcyclohexene-1-methanol"
142,"3,5-Dimethylcyclohexylmethyl Acetate","3,5-dimethylcyclohexylmethyl acetate"
142,"3,6-Dimethyl-3-Cyclohexene-1-Carbaldehyde","3,6-dimethyl-3-cyclohexene-1-carbaldehyde"
